time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,38,18,0,0
2026-06-02 00:00:00+00:00,15,5,0,0
2026-06-03 00:00:00+00:00,17,6,5,2
2026-06-04 00:00:00+00:00,20,6,0,0
2026-06-05 00:00:00+00:00,19,5,0,0
2026-06-06 00:00:00+00:00,21,6,0,0
2026-06-07 00:00:00+00:00,20,6,0,0
2026-06-08 00:00:00+00:00,30,12,1,1
2026-06-09 00:00:00+00:00,30,10,0,0
2026-06-10 00:00:00+00:00,18,7,1,1
2026-06-11 00:00:00+00:00,15,5,0,0
2026-06-12 00:00:00+00:00,21,7,0,0
2026-06-13 00:00:00+00:00,32,9,0,0
2026-06-14 00:00:00+00:00,40,12,1,1
