time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-28 00:00:00+00:00,34,8,0,0
2026-04-29 00:00:00+00:00,14,5,0,0
2026-04-30 00:00:00+00:00,36,7,0,0
2026-05-01 00:00:00+00:00,32,7,0,0
2026-05-02 00:00:00+00:00,48,11,0,0
2026-05-03 00:00:00+00:00,9,3,0,0
2026-05-04 00:00:00+00:00,20,6,0,0
2026-05-05 00:00:00+00:00,41,10,0,0
2026-05-06 00:00:00+00:00,19,5,0,0
2026-05-07 00:00:00+00:00,35,9,1,1
2026-05-08 00:00:00+00:00,18,8,4,2
2026-05-09 00:00:00+00:00,29,8,0,0
2026-05-10 00:00:00+00:00,29,8,0,0
2026-05-11 00:00:00+00:00,22,7,2,1
