time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,66,38,43,1
2026-05-27 00:00:00+00:00,106,61,105,1
2026-05-28 00:00:00+00:00,17,7,9,3
2026-05-29 00:00:00+00:00,17,7,0,0
2026-05-30 00:00:00+00:00,21,7,0,0
2026-05-31 00:00:00+00:00,15,6,0,0
2026-06-01 00:00:00+00:00,38,18,0,0
2026-06-02 00:00:00+00:00,15,5,0,0
2026-06-03 00:00:00+00:00,17,6,5,2
2026-06-04 00:00:00+00:00,20,6,0,0
2026-06-05 00:00:00+00:00,19,5,0,0
2026-06-06 00:00:00+00:00,21,6,0,0
2026-06-07 00:00:00+00:00,20,6,0,0
2026-06-08 00:00:00+00:00,30,12,1,1
